Age,Gender,Height,Weight,BMI,Activity Level,Sleep Hours,Water Intake,Goal,Diet Type
56,Male,1.8833436695380061,87.10805294046106,24.558348226507373,High,8.343692416267158,2.7276806048140885,Maintain,Balanced
46,Male,1.7424264185156044,82.82749860672031,27.28133706949558,High,8.547811323606792,3.3734386108000174,General Health,Health & Wellness
32,Male,1.7188283067716692,57.39661865691055,19.427696639856723,Medium,5.653161572719476,2.443667176864426,Weight Loss,Health & Wellness
60,Female,1.749514634099664,66.93266149500356,21.867691348362474,Medium,5.318449983078711,1.9267652186297606,Maintain,Balanced
25,Male,1.7485556017229915,43.562342015649925,14.247948173591713,High,8.426968131080178,3.273353298009238,Bodybuilding,Bodybuilding
38,Male,1.53834863994713,83.0792946540908,35.10615426476114,High,9.562225870065156,2.777146603444446,Weight Gain,Bodybuilding
56,Male,1.8888873387554106,70.06100687040698,19.636508203795938,Medium,8.272625924575957,2.4693660431376276,Weight Gain,Weight Gain
36,Male,1.5069061018038064,80.05240429258471,35.25348023741703,Low,7.494787705732265,2.166144162286836,Weight Loss,Weight Loss
40,Female,1.8148762396378546,41.01843309408168,12.453316806636233,Medium,7.01033973506871,1.7634306010568226,Weight Gain,Health & Wellness
28,Male,1.7056386978331701,65.78714057348924,22.613455390360674,Medium,11.291012894436095,2.998946974017495,Maintain,Balanced
28,Female,1.5910502807845213,72.51384495645519,28.645283485366715,Low,8.249383890426133,2.454722057446032,Bodybuilding,Bodybuilding
41,Female,1.7531374430071909,38.226374683021724,12.437445237507818,High,6.700150795908284,1.27817204391573,Weight Loss,Weight Loss
53,Male,1.6881861395098294,79.84530047450332,28.016165808519215,Very High,9.97574588390821,2.304226029846255,Weight Gain,Bodybuilding
57,Female,1.6317462003859176,65.14805127780168,24.46787253355289,Medium,9.583215739911662,3.2399487931277076,Weight Loss,Weight Loss
41,Female,1.5618522336218976,43.679248299434576,17.905863510923375,High,4.850528653919435,4.310563637723169,Weight Loss,Weight Loss
20,Female,1.5534492870976069,62.28238319869957,25.80899312815958,High,5.1587267623916295,2.2931005171871712,Weight Loss,Weight Loss
39,Female,1.63890887005508,76.85022416244882,28.611164028813285,Low,6.690730593597143,3.1218749070841145,Weight Gain,Weight Loss
19,Female,1.661301188229112,56.303378648563225,20.400354080027487,High,8.913680971030983,2.1794528793224663,Bodybuilding,Bodybuilding
41,Female,1.5789457467161199,69.31491299497807,27.80303887983503,Medium,6.130428627223818,2.5843380118692867,Weight Gain,Bodybuilding
61,Female,1.7038480147646962,63.503003359519504,21.87421923185315,Very High,5.470220402635906,2.7591510693153034,Weight Loss,Weight Loss
47,Male,1.593186379793548,40.08846786839146,15.793787428311381,Low,8.221078980069061,3.626862695674986,Weight Gain,Weight Gain
55,Male,1.73602207201759,79.35753081303025,26.331624988474605,Low,4.10547756510024,3.39912386654637,Weight Loss,Health & Wellness
19,Female,1.8231379321271657,82.1160365881004,24.705231364090164,Medium,6.473098443707597,2.996276886869046,Weight Loss,Weight Loss
38,Female,1.7289374316196076,87.23097122475556,29.18180520320561,Low,5.389267945494646,1.8462571275809752,Weight Loss,Weight Loss
50,Male,1.6906165209019566,70.13518543132,24.538371222621464,Medium,6.987651642853063,2.901043257396588,General Health,Health & Wellness
29,Male,1.6465102962178904,77.26904692952834,28.50208650104438,Medium,5.578453036707296,3.7072855806095504,General Health,Health & Wellness
39,Male,1.844609861857522,45.789419801033624,13.45724280245473,Medium,6.772394807755749,2.9511714313106348,Maintain,Weight Gain
61,Male,1.6806484282474266,73.6018918562402,26.057649024711807,Medium,7.6322620361159945,3.059266020871288,Weight Loss,Weight Loss
42,Female,1.9490223776779727,65.23075823805239,17.17191680680681,Low,7.194650139149537,2.6175574033085156,Weight Loss,Weight Loss
44,Female,1.5816964155087874,68.84567846064681,27.51885902155464,High,6.1941144253734945,2.249300798695412,Bodybuilding,Bodybuilding
59,Male,1.728990728266209,53.23989999486217,17.80950719402542,Medium,6.487182640118211,2.9303554973005674,Weight Loss,Weight Loss
45,Male,1.8412723609968755,86.83995929454002,25.61436200246721,Low,10.381827190260513,2.3355856273447784,Maintain,Health & Wellness
33,Male,1.6309863668082394,45.235375465608286,17.005035297258562,High,8.324252883772935,1.2457638373348932,Weight Loss,Weight Loss
32,Male,1.6763875650024511,74.08017475101988,26.36046923660991,Low,6.652161189735467,3.5837352581444835,Weight Gain,Weight Gain
64,Female,1.7626146507826435,56.23737706358483,18.101322479831676,Medium,7.267484924494109,3.0355416907718205,Bodybuilding,Bodybuilding
61,Male,1.7387890246397786,101.7789929511662,33.66389542178785,Low,7.677259557419227,1.0,Weight Loss,Weight Loss
20,Male,1.7559699064220975,80.43048732990464,26.084743024710146,High,5.857118527209798,1.0,Weight Loss,Weight Loss
54,Male,1.8160258474608264,69.57252782786912,21.095689864285216,High,7.0032373528950425,2.346821653197205,Maintain,Balanced
24,Female,1.6653245885847507,54.58120822524474,19.68091819426677,Low,5.389967978491262,2.9898680301390597,General Health,Health & Wellness
38,Female,1.843702589813474,83.35043916257007,24.520321544151198,Medium,5.509433974984579,2.01827137188638,Weight Loss,Weight Loss
26,Female,1.527998505060065,21.03046257208745,9.007472949547251,Medium,8.31315707409011,1.7822321155474081,Weight Loss,Weight Loss
56,Male,1.807743754558567,75.76255162336446,23.183598840949657,Low,8.508373086543864,2.3808401966795696,General Health,Health & Wellness
35,Male,1.8147205687576309,77.6556932032341,23.580541687479872,Medium,8.730033512997156,2.380906385134776,General Health,Health & Wellness
21,Male,1.6225529623945958,76.77605394835285,29.162719699114373,High,6.89266619178317,2.3114590899808016,General Health,Health & Wellness
42,Female,1.5549363824023084,82.56770133275107,34.14954671984305,Low,6.259955421760049,1.577112332922356,Weight Loss,Weight Gain
31,Female,1.6767832595440255,61.52541303443628,21.88268853749263,High,7.015945335767765,2.636928915389593,General Health,Health & Wellness
26,Male,1.7403803130829263,78.23970760926002,25.830861738046703,Very High,4.314244002689725,2.507169580371969,Maintain,Balanced
43,Male,1.6664900988309579,59.95011174586518,21.586613788247814,Medium,9.081828763445982,1.3003832477824346,Maintain,Balanced
19,Female,1.7501942187957191,57.544256759967354,18.785791383876703,Very High,4.0,2.8817066671938925,Weight Gain,Bodybuilding
37,Male,1.8937743763269768,54.51480604192955,15.200504390793297,Very High,8.459597315703693,2.1991246388354675,Weight Gain,Bodybuilding
45,Male,1.563528806063269,66.22030498203456,27.088153552432214,High,5.5158076909191545,1.864420975032962,Weight Loss,Weight Loss
64,Male,1.5045894896814216,86.66836021601662,38.28463687692912,Medium,6.987859569323031,2.638124612556009,Weight Loss,Weight Loss
24,Female,1.6930702346483777,95.72614191180551,33.39493531321923,High,5.723317506922926,2.2509589055241865,Maintain,Weight Loss
61,Male,1.6319831423692452,65.9437018441386,24.759506630199162,Very High,5.74620686548181,2.20578871301362,Weight Gain,Bodybuilding
25,Male,1.6519685081594344,60.325481323526404,22.10534349053754,High,4.0,1.8448288489189817,Weight Loss,Weight Loss
64,Male,1.8266913149490889,89.94147557641574,26.954400715156527,Medium,5.095288451105979,2.7158060343996393,Bodybuilding,Bodybuilding
52,Male,1.6879383675172528,76.5014119397037,26.850741330403466,High,8.365613146186249,3.4556750404550023,Maintain,Bodybuilding
31,Female,1.6971004579205302,70.4359017420389,24.455636899376486,Very High,5.162815202060032,2.440068221858899,Weight Loss,Weight Loss
34,Female,1.6563202455757227,53.41327144323195,19.469758185097383,Medium,5.099119313491561,1.963417266020689,Maintain,Balanced
53,Female,1.6961198831374213,91.47552498575376,31.797415364550886,High,6.837912424053543,3.1938092381395786,General Health,Health & Wellness
57,Male,1.7268501462475359,71.40527243010293,23.945338293920692,Medium,4.0,2.5589069545067913,Bodybuilding,Balanced
21,Female,1.9784588199181576,70.00239695561555,17.88376195909341,Low,6.473826056263654,1.3884978635069862,General Health,Health & Wellness
19,Male,1.72796574836121,78.12512881225781,26.164984817960903,Medium,7.387710138783594,2.6719395852825283,Weight Gain,Weight Gain
23,Female,1.8162695168689516,70.32847380217119,21.319185318317427,Low,7.556477009739205,1.9566026753247634,Weight Loss,Weight Loss
59,Male,1.7186399585144652,92.1195496767057,31.187602934340976,High,5.443888812071068,3.1173056333180154,Bodybuilding,Bodybuilding
21,Female,1.4972210669686705,85.17701473602081,37.99710914204481,Medium,8.811871100362517,1.0,General Health,Health & Wellness
46,Female,1.643292816628478,61.58004173801621,22.80394922326228,Low,8.531875965088563,2.406848781491923,Weight Gain,Weight Gain
35,Female,1.727891071800888,71.30351398359737,23.882413427070368,Low,4.408559271109607,3.393011103366653,Weight Loss,Weight Loss
43,Male,1.7723414543783387,61.21870508744203,19.488990679111076,Medium,8.071623618858588,2.2167396462977584,Bodybuilding,Bodybuilding
61,Male,1.7210228591578525,98.34046175413927,33.20159637017572,High,7.227380266493237,2.392803782909225,Bodybuilding,Bodybuilding
51,Male,1.792035139977194,59.15681906876226,18.420939256943853,Low,7.7649009994060965,1.9172661993105007,Bodybuilding,Bodybuilding
27,Female,1.5540015201820805,68.21457592254542,28.247128456037625,Medium,6.075637346710097,2.353417880105124,Bodybuilding,Bodybuilding
53,Male,1.7048792475617185,75.45889966132191,25.961107723341605,Very High,5.06059754492091,1.3721704129538648,Weight Gain,Bodybuilding
31,Male,1.8327963034685462,77.58579172159305,23.09690540718626,Medium,6.776933514293816,1.5156139303504745,Weight Gain,Weight Gain
48,Male,1.6028440002724058,80.11868704533047,31.18539949079013,High,7.56736278648907,1.466398944585889,Bodybuilding,Bodybuilding
32,Male,1.81205914322833,82.01449831490034,24.97732333604065,Medium,7.594831596506183,3.635919942886723,Weight Loss,Weight Loss
25,Male,1.8068907459285044,80.39290084118545,24.623734081598098,Medium,7.513812992000651,1.3052870087141737,Weight Loss,Weight Loss
31,Male,1.5762975347478057,63.50539457981523,25.558433153384037,Medium,5.386866439850328,1.8522899862439215,Weight Loss,Weight Loss
40,Female,1.7337878561109787,61.80461322480277,20.560277855754176,Medium,9.055882327569774,1.2594235918259544,Maintain,Balanced
57,Female,1.7158813991668425,70.57344809295114,23.969932117856693,Medium,8.78911369724084,3.7106587082569797,Maintain,Balanced
38,Male,1.6823637306937547,61.72451991333309,21.808104857872724,Medium,7.369958572724063,2.0823338653671826,Weight Loss,Weight Loss
33,Female,1.5473110777776284,60.13422790872372,25.116925046948207,High,5.570440693560665,1.3557381495030463,Weight Gain,Bodybuilding
62,Female,1.6736940263865334,63.67091913236574,22.729453147536493,Medium,7.393827971345222,1.9015544353237024,Bodybuilding,Bodybuilding
35,Male,1.6843704132658632,101.53202041396757,35.7872082027069,Low,6.35824731187739,1.7411546218434708,General Health,Health & Wellness
64,Male,1.5301698714220116,93.1573419307676,39.78668862457482,High,6.471604174791626,3.2275206824259297,Weight Loss,Balanced
41,Female,1.5694848362965024,66.41230019098806,26.960893080700924,Medium,8.00584452181234,2.317605989372038,Maintain,Balanced
43,Male,1.6073004606549992,39.00229870675601,15.097188088906666,Very High,6.371338754410381,1.560158748730089,Weight Loss,Weight Loss
42,Female,1.5951718434751527,61.14562992380489,24.029817526301958,High,9.121168173589629,3.640372121118971,Bodybuilding,Bodybuilding
62,Female,1.7326270371056103,83.20031496738055,27.714994458249766,Medium,7.945775365707787,2.9443104834877514,Weight Loss,Weight Loss
58,Female,1.7911510526864909,46.51695854278923,14.499294994712422,Very High,8.511767049489364,1.7904460217069467,Weight Loss,Weight Loss
46,Male,1.6689456853197109,79.05764451062697,28.383076280441582,High,5.655273679802053,2.8151267979149943,Weight Gain,Bodybuilding
32,Female,1.7766289567508933,78.09570368711006,24.741935475456636,Very High,6.0741773911100445,1.2658957809120548,Weight Loss,Bodybuilding
62,Male,1.7952488460484628,70.25987064029616,21.80007729047652,High,5.134474395847549,1.0964867513688648,Bodybuilding,Bodybuilding
18,Male,1.691470705695534,69.43594364069195,24.269195523274863,Very High,8.98037916776666,1.577259551243575,Bodybuilding,Bodybuilding
42,Male,1.7408043743196178,56.43135050383961,18.621750571270763,High,11.319075475002055,3.1104535061510146,Maintain,Weight Loss
24,Male,1.677665484182917,80.4523588464419,28.584331701070955,High,7.780705871339847,3.6903530974420056,Maintain,Weight Loss
26,Male,1.5877170245804813,74.64870000619686,29.61256627740819,High,7.388584037061681,1.63121089315071,Weight Loss,Weight Loss
41,Female,1.6253240548455197,62.790578604091635,23.769199679612903,Very High,6.284509556664307,2.5323346005249485,Weight Loss,Weight Loss
18,Male,1.7326148160657895,58.224806071229644,19.39563501478253,Medium,9.425195515088674,3.8584259875307483,Weight Loss,Weight Loss
61,Male,1.687867046038163,52.09863057787789,18.287310539213895,High,6.932824853632034,3.103554926017215,Weight Loss,Weight Loss
25,Male,1.7737173013109837,75.5728144802469,24.02131575446087,Very High,6.028369511752685,2.0351548546771485,Weight Gain,Bodybuilding
41,Male,1.5113012926217393,66.96634424375482,29.319359823814715,Medium,4.785411560454587,3.2294949182370134,Maintain,Weight Loss
28,Male,1.5353428434301934,67.15755511898983,28.48945486251735,Low,5.432858077057318,3.2139028213370984,Bodybuilding,Bodybuilding
34,Female,1.5471775146643547,46.58228232215658,19.459894118762932,Low,7.1053730480925275,1.8236435484621718,Weight Gain,Weight Gain
25,Male,1.7166653181103875,53.57237622796812,18.178985524623037,Very High,4.250446248472446,1.0,Weight Loss,Weight Loss
52,Male,1.5621896901660957,51.94089479138266,21.283443378181925,High,5.16049007744933,1.8359920166470394,Bodybuilding,Bodybuilding
52,Female,1.7320129164976934,81.53125712877362,27.178274823302147,Medium,9.494889404598002,2.3148773745568034,Weight Gain,Weight Loss
50,Male,1.7753009921064145,72.57549896112745,23.027460115913463,Very High,8.24408959677028,1.5458479141701038,Maintain,Balanced
22,Female,1.8516249773419384,65.75523890513594,19.178926683235655,Low,6.512168623197535,2.2000440405202717,Weight Loss,Weight Loss
59,Female,1.8405907551640275,86.58341358233541,25.55760956886734,Low,8.414558713003025,3.87172372188376,Weight Loss,Health & Wellness
56,Female,1.630458034566617,84.4618905436963,31.771780077701138,High,5.8524373751551675,2.835097774119928,Weight Loss,Weight Loss
58,Female,1.5330362006981784,86.58153516838874,36.840071244627076,Medium,8.1692317067034,1.5643366685543902,Bodybuilding,Bodybuilding
45,Male,1.6368058001689914,66.36933955009198,24.7726909844065,Medium,6.455615598166575,1.541031247868744,Weight Loss,Weight Loss
24,Male,1.7976835746936173,48.78446783668903,15.095763081136132,High,9.953953382463174,3.2352931545480343,Weight Loss,Weight Loss
26,Female,1.6610309931160274,95.59748618745905,34.64902355696497,Low,5.2935649179009,2.3656906930390544,Maintain,Health & Wellness
25,Female,1.697567940996127,77.86313184258991,27.019514327025995,High,9.295465040146293,2.8504442095686056,Weight Gain,Bodybuilding
29,Male,1.644283925559882,78.17399834616405,28.91403503622437,Medium,6.808075172951015,2.7783334824659476,Weight Loss,Weight Loss
51,Female,1.8581202764919684,80.13803624192084,23.21085031763163,Very High,4.182597716969025,2.4481111199219323,General Health,Health & Wellness
50,Female,1.598553923518079,111.45247818910488,43.61492681565686,High,7.463949762620898,4.408835097589398,Weight Gain,Bodybuilding
40,Female,1.7066765539731312,68.49339208340352,23.51506753193194,High,8.048359546479059,2.1480622972168093,Maintain,Balanced
41,Male,1.8108238561099912,91.54724236444041,27.918549578502972,Medium,9.24888234851435,1.4578672322903061,General Health,Health & Wellness
54,Female,1.8841549476395367,57.21078253091329,16.11553241058674,Very High,8.142081968369903,2.629835391092959,Maintain,Weight Gain
52,Male,1.6305197898461357,82.22848364029747,30.92930299185351,Low,5.604780856892738,2.4812797457714915,Weight Gain,Weight Loss
61,Male,1.7960805866138374,96.75162853763734,29.992084185074628,Medium,8.557377643352819,2.782810814667114,Weight Gain,Weight Loss
57,Male,1.6367735006476907,69.29556779341247,25.86594127511261,Low,7.081041093795306,2.141706269468785,Weight Loss,Weight Loss
39,Female,1.8377159868578716,41.216105963607234,12.204224023894463,Very High,4.628170082258908,2.1660991886175376,Weight Loss,Weight Loss
44,Female,1.8729467051729274,78.50518942846608,22.379352992190448,High,6.873397615534708,3.5349132298679224,Weight Gain,Bodybuilding
52,Male,1.6110405101462284,66.74637815345447,25.716672995813664,Very High,5.234922857099611,3.2637852973812653,Weight Loss,Weight Loss
18,Male,1.765346350888503,82.66388112487212,26.52503364684383,High,6.790402905983334,2.3123989478944256,Weight Loss,Weight Loss
52,Male,1.8113286527771788,63.003834583238685,19.203149736450005,Low,8.092733632171697,2.783874513266431,Bodybuilding,Bodybuilding
54,Female,1.6705732612376907,105.81372443413747,37.914990291999935,Very High,5.310192983139403,2.8520863251151867,Weight Loss,Weight Loss
64,Female,1.7547714440193156,71.59647747321019,23.25147663587174,Medium,7.4413540647707705,2.450093912466864,Weight Gain,Weight Gain
31,Male,1.7600017260643352,81.8661726467211,26.42885203758979,Medium,8.62496194690949,1.4488791333096747,Weight Loss,Weight Loss
20,Male,1.9009650135789773,55.004642923044145,15.221277434470721,Medium,6.062584762446366,1.0,Weight Gain,Weight Gain
18,Female,1.5028998280800088,52.37397173143056,23.187580779307893,Medium,6.573612142578359,3.052230332554457,Maintain,Balanced
22,Male,1.6944086497945139,50.54686138527687,17.605885554731703,High,8.602611104963534,2.18518829315342,General Health,Health & Wellness
43,Female,1.5749746598079655,50.647756260576585,20.41799387029697,Medium,8.670973832277554,3.6150447099294176,Maintain,Balanced
31,Female,1.7013798077733433,80.17695699498536,27.697911337136535,Medium,5.262204369385364,1.3945203451598878,Weight Gain,Weight Loss
56,Male,1.6217141997417908,60.95481515384542,23.177115220384618,High,5.439036723417482,2.8432016123181976,Maintain,Balanced
44,Male,1.674508278063341,50.94956632210821,18.17045882928155,Medium,8.185456230809276,1.5588397275595207,Weight Loss,Weight Loss
26,Female,1.6125852661314475,59.54963315445011,22.899906840831243,Low,6.653391863485553,2.6494818886203704,Maintain,Health & Wellness
32,Female,1.7155367453135677,80.55458562866808,27.370971886532967,Very High,6.767307461562193,2.0176144823029767,Weight Gain,Bodybuilding
32,Female,1.8073894170183495,80.18030533669562,24.54506778417268,Medium,4.363825857635086,1.0,General Health,Health & Wellness
43,Female,1.6627265212567781,84.95352777328476,30.72838743789662,High,6.308017482304267,3.064983125655664,Maintain,Weight Loss
59,Female,1.8430622205728544,65.77708183329139,19.363979241274514,Medium,6.7548267253361365,2.8364787110256593,Weight Gain,Weight Gain
30,Male,1.8043956808009118,99.95681770010785,30.700741396842584,Low,8.084614152593044,2.895300164022103,Weight Loss,Weight Loss
49,Female,1.9034069018956834,86.23020054155378,23.801049995099515,High,6.44110770553745,3.5220314984455596,Weight Loss,Weight Loss
56,Female,1.741135701205743,52.38764177826734,17.28079061102345,Medium,8.089100045685221,3.121996130156161,Weight Loss,Weight Loss
49,Female,1.693835595836872,82.18208705841519,28.644065333012364,Medium,6.74152806212542,2.1883171647628767,Maintain,Weight Loss
21,Male,1.5414762803456448,70.28662708650654,29.58005724895906,Low,8.883701764799419,4.127359447975569,Maintain,Health & Wellness
47,Male,1.6218312878406953,67.5238849019396,25.671194196874623,Low,6.97842256101465,2.9747861438694985,Weight Loss,Weight Loss
