Name,Region,Meal_Type,Diet_Type,Calories,Protein,Carbs,Fats
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,139,7,22,1
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,646,43,63,26
Bharli Vangi with Bhakri,West India,Dinner,Weight Loss,266,9,38,11
Lemon Rice with Curd,South India,Dinner,Balanced,399,7,72,9
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,329,26,41,7
Vegetable Daliya,Pan India,Dinner,Health & Wellness,238,6,37,4
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,332,8,42,6
Puran Poli with Amti,West India,Lunch,Balanced,490,12,71,14
Kachumber Salad with Varan Bhath,West India,Dinner,Balanced,371,10,58,9
Paneer Lababdar with Naan,North India,Lunch,Weight Gain,643,19,71,24
Aamti with Rice,West India,Lunch,Weight Loss,321,10,60,6
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,186,5,36,1
Vegetable Avial with Brown Rice,South India,Dinner,Weight Loss,301,8,41,7
Kachumber Salad with Varan Bhath,West India,Dinner,Balanced,318,9,54,10
Chicken Sukka with Naan,West India,Lunch,Weight Gain,603,35,55,25
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,263,11,38,8
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,219,15,24,5
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,361,11,50,9
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,455,43,31,12
Vegetable Daliya,Pan India,Dinner,Health & Wellness,243,7,39,5
Lentil Soup with Whole Wheat Bread,Pan India,Lunch,Health & Wellness,288,13,45,5
Mutton Biryani,North India,Lunch,Weight Gain,702,35,66,25
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,358,32,29,16
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,339,18,33,14
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,383,43,9,26
Curd Rice with Pickle,South India,Dinner,Balanced,323,10,56,8
Mutton Keema with 2 Dry Chapatis,Pan India,Lunch,Bodybuilding,516,44,37,22
Dal Fry with Jeera Rice,North India,Dinner,Balanced,416,13,58,11
Paneer Tikka Masala with Jeera Rice,North India,Dinner,Weight Gain,517,25,59,21
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,521,15,69,21
Tendli Bhaji with Brown Rice,West India,Lunch,Weight Loss,281,8,46,6
Crab Masala with Rice,South India,Dinner,Weight Gain,573,31,60,22
Lauki Soup and Sauteed Veggies,North India,Dinner,Weight Loss,176,6,27,6
Mutton Biryani,North India,Lunch,Weight Gain,619,35,78,29
Tomato Shorba with Roti,East India,Dinner,Weight Loss,229,5,32,4
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,632,30,59,22
Shrikhand Puri,West India,Breakfast,Weight Gain,598,12,68,20
Sprouted Matki Usal,West India,Breakfast,Weight Loss,221,9,29,4
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,304,14,27,12
Mutton Korma with Roti,North India,Dinner,Weight Gain,525,28,36,24
Rajma Chawal,North India,Lunch,Balanced,514,15,66,10
Cucumber and Tomato Raita with Mint,Pan India,Dinner,Health & Wellness,139,5,16,6
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,207,10,29,6
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,321,24,46,9
Curd Rice with Pickle,South India,Dinner,Balanced,384,10,58,7
Sattu Sharbat with Toast,East India,Breakfast,Weight Loss,186,8,34,2
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,209,2,43,1
Millet Sambar Rice,South India,Lunch,Weight Loss,340,13,58,6
Pongal with Medu Vada and Filter Coffee,South India,Breakfast,Weight Gain,473,14,48,23
Aamras with Puri,West India,Breakfast,Weight Gain,559,8,76,18
White Rice with Chicken Chettinad and Curd,South India,Lunch,Weight Gain,601,38,53,24
Fish Recheado with Rice,West India,Dinner,Weight Gain,595,29,66,22
Cottage Cheese Salad with Seeds,Pan India,Dinner,Bodybuilding,384,28,11,20
Mosambi Juice with Sprouts Toast,Pan India,Breakfast,Health & Wellness,197,8,34,3
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,249,5,29,14
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,279,9,37,7
Gujarati Thali,West India,Lunch,Weight Gain,721,17,103,25
Oats Pongal,South India,Breakfast,Weight Loss,206,7,35,5
Aamti with Rice,West India,Lunch,Weight Loss,361,11,61,6
Palak Soup with Multigrain Toast,Pan India,Lunch,Health & Wellness,202,7,27,6
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,379,44,31,10
Crab Masala with Rice,South India,Dinner,Weight Gain,598,37,56,24
6 Boiled Eggs (4 Whites 2 Whole),Pan India,Breakfast,Bodybuilding,314,33,2,18
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,223,5,39,2
Dal Fry with Jeera Rice,North India,Dinner,Balanced,357,13,62,10
Mutton Biryani,North India,Lunch,Weight Gain,644,34,74,26
Herbal Tea with Fruit Salad,Pan India,Dinner,Health & Wellness,163,2,35,1
Cucumber and Tomato Raita with Mint,Pan India,Dinner,Health & Wellness,151,5,16,5
Lemon Rice with Curd,South India,Dinner,Balanced,423,8,57,10
Khichdi with Ghee (Small),North India,Dinner,Weight Loss,282,9,46,8
Moong Dal Chilla,North India,Breakfast,Weight Loss,225,11,28,5
Tomato Shorba with Roti,East India,Dinner,Weight Loss,191,6,30,4
Mutton Korma with Roti,North India,Dinner,Weight Gain,468,27,41,22
Thekua with Masala Chai,East India,Breakfast,Balanced,291,5,41,9
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,126,3,24,2
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,274,9,35,8
Chicken Omelette with Toast,Pan India,Breakfast,Bodybuilding,381,35,20,17
Tandoori Paneer Tikka with Salad,North India,Dinner,Weight Loss,220,18,9,11
Lauki Soup and Sauteed Veggies,North India,Dinner,Weight Loss,203,5,24,6
Sprouts Chaat,North India,Breakfast,Weight Loss,169,9,30,3
Tofu Stir Fry with Brown Rice,Pan India,Lunch,Health & Wellness,313,15,46,8
Kootu with Brown Rice,South India,Lunch,Weight Loss,345,9,55,5
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,188,3,30,4
Thepla with Curd,West India,Breakfast,Balanced,314,9,45,12
Lemon Rice with Curd,South India,Dinner,Balanced,355,7,71,9
Dal Dhokli,West India,Lunch,Balanced,419,12,55,12
Ven Pongal with Ghee,South India,Breakfast,Weight Gain,429,11,58,21
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,234,8,33,7
Vegetable Daliya,Pan India,Dinner,Health & Wellness,234,6,39,4
Bisi Bele Bath,South India,Lunch,Balanced,407,14,67,11
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,671,26,62,19
Puttu with Kadala Curry,South India,Breakfast,Balanced,323,14,53,8
Fish Fry with Rice and Dal,East India,Dinner,Balanced,439,25,52,12
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,118,4,27,1
Chicken Curry with Basmati Rice and Ghee,North India,Lunch,Weight Gain,546,37,50,21
Stuffed Capsicum with Raita,North India,Dinner,Balanced,370,11,39,11
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,371,25,41,8
Prawn Malaikari with Rice,East India,Lunch,Weight Gain,727,32,74,23
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,484,14,75,21
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,586,29,58,21
Khichuri with Ghee and Begun Bhaja,East India,Breakfast,Weight Gain,505,12,55,16
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,287,24,5,12
Puttu with Kadala Curry,South India,Breakfast,Balanced,349,14,47,8
Dal Shorba with Roti,North India,Dinner,Weight Loss,215,10,31,5
Bharli Vangi with Bhakri,West India,Dinner,Weight Loss,290,8,37,13
Fish Curry Rohu with Quinoa,Pan India,Dinner,Bodybuilding,455,38,43,11
Chicken Omelette with Toast,Pan India,Breakfast,Bodybuilding,453,40,20,18
Gujarati Thali,West India,Lunch,Weight Gain,634,19,100,25
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,357,12,47,5
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,164,7,27,1
Mutton Kolhapuri with Rice,West India,Lunch,Weight Gain,745,39,62,28
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,452,36,28,12
Brown Rice with Rajma,North India,Lunch,Weight Loss,390,12,55,6
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,512,44,37,10
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,498,19,55,22
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,330,11,57,5
Watermelon and Mint Juice,Pan India,Breakfast,Health & Wellness,79,1,20,1
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,366,12,53,10
Batata Vada with Pav,West India,Breakfast,Weight Gain,538,8,68,19
Sattu Sharbat with Toast,East India,Breakfast,Weight Loss,208,8,32,2
Vegetable Daliya,Pan India,Dinner,Health & Wellness,201,6,36,4
Tandoori Paneer Tikka with Salad,North India,Dinner,Weight Loss,241,19,10,12
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,287,7,31,9
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,216,3,42,7
Sprouted Matki Usal,West India,Breakfast,Weight Loss,215,10,25,4
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,309,10,47,8
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,486,18,48,23
Rice with Fish Curry and Papadam,South India,Dinner,Weight Gain,585,33,60,18
Dalma with Rice,East India,Lunch,Balanced,380,13,63,10
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,339,23,37,8
Lentil Soup with Whole Wheat Bread,Pan India,Lunch,Health & Wellness,301,15,42,5
Stuffed Paratha with Full Fat Curd,North India,Breakfast,Weight Gain,521,12,64,21
Jowar Bhakri with Zunka,West India,Breakfast,Weight Loss,255,9,39,6
Dalma with Rice,East India,Lunch,Balanced,416,12,65,10
Idli with Sambar,South India,Dinner,Weight Loss,206,7,37,2
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,231,8,34,9
Rice with Fish Curry and Papadam,South India,Dinner,Weight Gain,573,28,61,16
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,532,17,50,22
Stuffed Capsicum with Raita,North India,Dinner,Balanced,358,12,39,10
Dal Palak with Grilled Fish,Pan India,Dinner,Bodybuilding,450,38,31,13
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,446,44,39,11
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,391,36,32,11
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,471,9,57,17
Hyderabadi Chicken Biryani,South India,Lunch,Weight Gain,701,40,71,28
Vegetable Daliya,Pan India,Dinner,Health & Wellness,233,7,40,4
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,173,4,34,5
Cucumber and Tomato Raita with Mint,Pan India,Dinner,Health & Wellness,123,5,14,5
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,208,12,24,6
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,334,10,46,11
Luchi with Alur Dom,East India,Breakfast,Weight Gain,474,7,67,21
Vegetable Poha,North India,Breakfast,Weight Loss,200,5,42,3
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,277,9,35,8
South Indian Thali,South India,Lunch,Balanced,551,13,79,10
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,169,4,35,4
Stuffed Paratha with Full Fat Curd,North India,Breakfast,Weight Gain,495,14,60,18
Beef Roast with Steamed Vegetables,Pan India,Dinner,Bodybuilding,543,54,11,23
Chicken Omelette with Toast,Pan India,Breakfast,Bodybuilding,423,32,21,16
Misal Pav with Butter,West India,Breakfast,Weight Gain,498,17,62,23
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,223,4,35,8
Thekua with Masala Chai,East India,Breakfast,Balanced,273,6,50,9
Chicken Biryani,North India,Dinner,Weight Gain,633,32,59,20
